task,n_eligible_models,obs_records_min_over_tie_orders,obs_records_max_over_tie_orders,expected_records_null,p_records_exact_exchangeable,p_records_exact_at_max_tie_order,p_records_sim_flat_null,obs_record_slope_min,obs_record_slope_max,flat_null_slope_mean,flat_null_slope_q3,flat_null_slope_q97,flat_null_frac_slope_defined,p_slope_ge_obs_flat_null,obs_record_quad_min,obs_record_quad_max,linear_ppc_quad_mean,linear_ppc_quad_q3,linear_ppc_quad_q97,linear_ppc_frac_quad_defined,p_quad_le_obs_linear_ppc,n_reps,null_fit_max_r_hat,null_fit_divergences
cybench,12,6,7,3.103210678210678,0.03417353511971568,0.006324912067099567,0.034,3.1904906920820446,3.1950669539001764,3.951465146997244,0.30870499847460037,11.243391174304856,0.92025,0.5069274653626732,-1.002375800750046,-0.9554860146154261,0.698562115644343,-9.2248050320348,15.535430883683983,0.975,0.4264102564102564,4000,1.0011,0
gdm_intercode_ctf,8,6,6,2.717857142857143,0.008705357142857141,0.008705357142857141,0.0075,1.0132005910695718,1.0132005910695718,1.4257083581186762,0.08615000457187914,4.978452593864361,0.87475,0.5201486138896828,1.1986296477630314,1.1986296477630314,0.7824290459990231,-4.231403639178457,8.190528702449123,0.866,0.7179561200923787,4000,1.0025,0
