task,n_frontier,frontier_models,selection_note,descr_beta_mean,descr_beta_hdi3,descr_beta_hdi97,diag_max_r_hat,diag_min_ess_bulk,diag_min_ess_tail,diag_n_divergences,diag_n_params,descr_beta2_mean,descr_beta2_hdi3,descr_beta2_hdi97,quad_max_r_hat,quad_divergences
cybench,7,gpt-4o-2024-08-06;o1-2024-12-17;o3-2025-04-16;o4-mini-2025-04-16;claude-sonnet-4;claude-opus-4-1;gpt-5,"descriptive record path: subset is monotone by construction, P-values would be ~1 under any truth incl. no trend; see frontier_null.csv for selection-aware tests",3.1051278114318848,2.438481330871582,3.7421188354492188,1.0027,2408.914,2596.3824,0.0,3.0,-0.9172484278678894,-2.6067419052124023,0.7654404044151306,1.0039,0.0
gdm_intercode_ctf,6,gpt-4o-2024-08-06;mistral-large-2411;o4-mini-2025-04-16;claude-sonnet-4;claude-opus-4-1;gpt-5,"descriptive record path: subset is monotone by construction, P-values would be ~1 under any truth incl. no trend; see frontier_null.csv for selection-aware tests",0.9667773246765137,0.1180429458618164,1.7331864833831787,1.0019,2092.0874,2551.4745,0.0,3.0,0.7391470670700073,-1.5011615753173828,2.9394617080688477,1.0034,0.0
swe_bench,1,claude-3-5-sonnet-20241022,"descriptive record path: subset is monotone by construction, P-values would be ~1 under any truth incl. no trend; see frontier_null.csv for selection-aware tests",,,,,,,,,,,,,
boolq_preference,1,gpt-4o-2024-08-06,"descriptive record path: subset is monotone by construction, P-values would be ~1 under any truth incl. no trend; see frontier_null.csv for selection-aware tests",,,,,,,,,,,,,
