task,n_models,n_models_excluded_smallN,release_span_yr,beta_mean,beta_hdi3,beta_hdi97,P(beta>0),sigma_model_mean,sigma_model_hdi3,sigma_model_hdi97,trend_acc_at_first_release,trend_acc_at_last_release,diag_max_r_hat,diag_min_ess_bulk,diag_min_ess_tail,diag_n_divergences,diag_n_params
cybench,12,3,1.002,2.9395079612731934,1.2175524234771729,4.595589637756348,0.996625,0.9131613969802856,0.5498508214950562,1.332641363143921,0.10903381405991787,0.6618875332083444,1.0011,4033.4043,3736.4724,0,3
gdm_intercode_ctf,8,0,1.002,0.9243637919425964,0.003907246049493551,1.9318933486938477,0.961375,0.4516766369342804,0.2255214899778366,0.7432711720466614,0.4929196318689425,0.708063510894944,1.0021,3078.3564,3085.3378,0,3
swe_bench,3,2,0.277,-1.0196316242218018,-3.9467976093292236,2.0290961265563965,0.235375,0.5162073969841003,0.07028096169233322,1.2088851928710938,0.42083182739335406,0.35520974518087045,1.0021,1488.9241,2165.7147,3,3
boolq_preference,5,0,1.002,-0.2968353033065796,-2.2451536655426025,1.9113969802856445,0.377625,1.07065749168396,0.49965059757232666,1.7462838888168335,0.7715318931527746,0.735317058553184,1.0021,3331.3513,3298.4108,0,3
