dataset,model,n_items,p_mean,sd_between_pp,sd_between_pp_hdi3,sd_between_pp_hdi97,N_nominal_K1,N_eff_K1,N_eff_K1_hdi3,N_eff_K1_hdi97,N_nominal_K10,N_eff_K10,N_eff_K10_hdi3,N_eff_K10_hdi97,N_eff_ceiling,N_eff_ceiling_hdi3,N_eff_ceiling_hdi97
d1_pooled,ML-2411 (azureai),79,0.5618383577902087,8.708342615414233,5.0174678152235765,12.513929860488894,79,29.231027141978043,10.148805234394025,47.2636594282172,790,36.344841767292586,8.842810033864959,63.58341174514035,34.882877987364296,8.891158904785172,66.52791531556824
d1_pooled,gemma-3-27b,79,0.5583003870591776,7.461829871722795,4.188019670890511,10.793934651814768,79,39.150813369209395,12.304697440248185,63.60187726323308,790,50.47369804413682,13.086541286227959,93.15916115680746,48.18478342000296,13.179589589875327,98.23143346329708
d1_pooled,ML-2411 (mistralazure),79,0.6182105408522223,7.463682377525007,4.095880442276253,11.42061020115844,79,38.05010845381604,14.26744679636486,68.84518275368085,790,49.44433175628976,13.45901128982607,100.71854149877561,45.5223597076393,13.561758513997036,106.42021444961246
d1_pooled,ML-2411-CAST,79,0.5671158146883751,8.351263463433739,4.995344141215465,12.37669737849715,79,31.615475729540027,12.067947139450652,52.96306774475816,790,39.70998621886005,11.744450842271707,74.22702534739015,37.79155204689764,11.82833703868289,77.81586863788606
d1_hetrun,ML-2411 (azureai),79,0.5539705647848328,10.8242810122257,5.156643021773134,17.683472158065264,79,22.75613955380017,5.279842659489073,46.381647585089645,790,27.843110955237734,3.876844315206525,60.43331344066877,22.61171173333729,3.885220307244544,63.00139463794733
d1_hetrun,gemma-3-27b,79,0.5561480357334838,0.8529628664279572,0.005487419932526064,2.178909591281878,79,168.11453459168754,133.12909157840687,190.4837449613829,790,1274.2681897274429,370.2850949273635,1865.7617761415306,6385.782857574268,67.58896722050127,581202.7224238474
d1_hetrun,ML-2411 (mistralazure),79,0.639005050013014,5.310239457317884,0.013432620825995856,12.73074543919722,79,84.64891414542862,11.163347207888068,180.0774149849669,790,337.6762120852656,4.666992138156304,1459.7034854663175,136.34768239565267,4.6777223394184135,6963.100395782431
d1_hetrun,ML-2411-CAST,79,0.564358541927435,10.866783933758603,5.886134920218267,17.128429507103668,79,21.67423043108261,5.163940851027226,40.93836904142301,790,25.559440982843842,4.815716124468543,52.51754976038767,21.761197777760508,4.8270802434768365,54.35605618983612
d2_frontier,claude-opus-4.1,14,0.7532803304208922,4.402875331857844,2.5777556469997194,6.665596305848805,14,17.021606980538365,14.355012738635583,19.558914229680013,140,69.64479193244016,32.661624199662135,107.90807877492884,100.35950017731005,24.97026947635654,200.8196941476961
d2_frontier,claude-sonnet-4,14,0.6595409476748071,4.898323383801011,2.8510259787064247,7.0771115931854895,14,18.054101020777335,15.052708563655692,20.65437811453374,140,69.93624533841025,32.102649850825394,104.11063428754025,97.56830132447018,37.054728525870296,193.68572406443272
d2_frontier,gpt-5,14,0.8505768208616858,4.073960236112596,2.1372515322511703,5.901702489863715,14,12.787751998182387,11.003664625312831,14.215952958188495,140,54.06490324142178,26.11447375958201,79.6828147521158,81.07436307395048,30.721855657410348,166.91873264325696
d2_frontier,o3,14,0.5709135116542122,7.529963420960788,4.458396573716466,10.615708490943328,14,11.582165384744547,9.467747670226222,14.09712375351479,140,36.43640716265031,16.351283324188902,57.10493673602867,45.38011692575145,16.94554114158377,87.94694499530232
d2_frontier,o4-mini,14,0.6979148699109378,5.852086740926601,3.4370122083226256,8.297716021969112,14,13.64559083296526,11.494386965707323,16.027132818381688,140,48.56479280474466,21.434561425099364,73.17343410888883,65.05221435200824,22.352489352822733,124.77025503886044
