benchmark,n_models,n_items,n_runs_dedup,n_samples,disc_ratio_mean,disc_ratio_hdi_low,disc_ratio_hdi_high,disc_ratio_scale,best_model,p_best_mean,p_best_hdi_low,p_best_hdi_high,p_sat_gt90,rho_mean,rho_hdi_low,rho_hdi_high,deff_epochs10_mean,deff_realized_mean,median_epochs_per_item,sigma_run_mean,sigma_run_hdi_low,sigma_run_hdi_high,run_sd_extra_pp_mean,run_inflation_mean,run_inflation_hdi_low,run_inflation_hdi_high,run_eff_n_median,repro_groups,repro_runs,verdict,justification
cybench,45,134.0,6507,38987.0,7.6123857498168945,6.683435440063477,8.459321975708008,logit (sample-level crossed model),openai/gpt-5,0.6166357159614563,0.5777379274368286,0.6562555432319641,0.0,0.6801689267158508,0.6422730684280396,0.7190998792648315,7.121520519256592,1.0,1.0,0.5654509663581848,0.38664472103118896,0.7755120992660522,6.212497234344482,3.883869828941072,2.751335885540641,5.237430588983794,27.83125987580764,12.0,38.0,noisy,same-config run SD is 3.9x binomial/naive SE
gdm_intercode_ctf,15,79.0,35848,57539.0,14.437196731567383,13.268867492675781,15.55186939239502,logit (sample-level crossed model),openai/gpt-5,0.6769943663030863,0.6665344834327698,0.686529278755188,0.0,0.4115230143070221,0.40159308910369873,0.42140987515449524,4.703707218170166,1.0,1.0,0.2697257995605469,0.17090369760990143,0.36915910243988037,6.6594743728637695,3.902349123723412,2.58640941733811,5.250244899853235,55.22745435619515,5.0,21.0,noisy,same-config run SD is 3.9x binomial/naive SE
swe_bench,3,61.0,109,9829.0,5.691259860992432,4.934389114379883,6.376623630523682,logit (sample-level crossed model),openai/o1-2024-12-17,0.4435622397735715,0.4146119952201843,0.47261911630630493,0.0,0.5576798319816589,0.5288377404212952,0.5868349671363831,6.019117832183838,1.8588268756866455,2.54,0.1182817667722702,1.9211415747122373e-06,0.31148409843444824,2.5429677963256836,1.2709228517430826,1.0000000050310227,1.9799669545738068,113.57052572538583,4.0,9.0,underpowered,only 3 models
boolq_preference,7,,1890,,112.4286117553711,111.66883087158203,113.19088745117188,"probability (eval-level normal; tiny SEs, not comparable to logit rows)",openai/gpt-4o-2024-08-06,0.8928841948509216,0.8911211490631104,0.8947293162345886,0.0,,,,,,,0.0170268714427948,0.016337625682353973,0.017695888876914978,1.70268714427948,3.3230655193328857,3.2009024620056152,3.4419491291046143,,,,noisy,same-config run SD is 3.3x binomial/naive SE
