group,model,n_runs,mean_acc,sd_acc,med_n,binom_sd,ratio
Mistral-Large-2411-CAST|g4,mistralazure/Mistral-Large-2411-CAST,3,0.5611814345991561,0.12941348553251933,790.0,0.01765552346822947,7.329914956381476
Mistral-Large-2411|g0,azureai/Mistral-Large-2411,2,0.5259493670886076,0.14052628436238984,790.0,0.017765228103068405,7.910187448598996
Mistral-Large-2411|g3,mistralazure/Mistral-Large-2411,2,0.6746835443037975,0.017901437498393662,790.0,0.016668231716160664,1.0739853994852582
gemma-3-27b-it|g1,gemma/gemma-3-27b-it,9,0.5226441631504923,0.03588358911551945,790.0,0.01777094919482583,2.0192274887582973
gemma-3-27b-it|g2,gemma/gemma-3-27b-it,5,0.5556962025316455,0.006990734821004591,790.0,0.017678490578772247,0.3954373134886774
